@gt=  0.000000  | lt=  0.000000 | input={0, 1}

@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2}
{0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3}
{0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4}
{0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}
@gt=  0.000000  | lt=  0.000000 | input={0, 1, 2, 3, 4, 5}
{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}

{0.0, 0.0, 0.0, 0.0, 0.0, 0.0}
@gt= 64.998779  | lt= 64.998779 | input={0, 1, 2, 3, 4, 5}


{0.0, 7.776216303291321E-5, 0.0, 0.0, 0.0, 0.0}
@gt= 64.998993  | lt= 64.998993 | input={0, 1, 2, 3, 4, 5}


{0.0, 7.776216303291321E-5, 7.77624186037159E-5, 0.0, 0.0, 0.0}
@gt= 64.999237  | lt= 64.999237 | input={0, 1, 2, 3, 4, 5}


{0.0, 7.776216303291321E-5, 7.77624186037159E-5, 7.776271068463326E-5, 0.0, 0.0}
@gt= 64.999573  | lt= 64.999573 | input={0, 1, 2, 3, 4, 5}


{0.0, 7.776216303291321E-5, 7.77624186037159E-5, 7.776271068463326E-5, 0.0, 7.776311229589462E-5}
@gt= 64.999817  | lt= 64.999817 | input={0, 1, 2, 3, 4, 5}


{0.0, 7.776216303291321E-5, 7.77624186037159E-5, 7.776271068463326E-5, 7.776340437681199E-5, 7.776311229589462E-5}
@gt= 65.000427  | lt= 65.000427 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 7.776216303291321E-5, 7.77624186037159E-5, 7.776271068463326E-5, 7.776340437681199E-5, 7.776311229589462E-5}
@gt=130.997528  | lt=130.997528 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 7.77624186037159E-5, 7.776271068463326E-5, 7.776340437681199E-5, 7.776311229589462E-5}
@gt=130.997528  | lt=130.997528 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 7.77624186037159E-5, 7.776271068463326E-5, 7.776340437681199E-5, 7.776311229589462E-5}
@gt=130.997986  | lt=130.997986 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 7.776271068463326E-5, 7.776340437681199E-5, 7.776311229589462E-5}
@gt=130.997986  | lt=130.997986 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 7.776271068463326E-5, 7.776340437681199E-5, 7.776311229589462E-5}
@gt=130.998474  | lt=130.998474 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 7.776340437681199E-5, 7.776311229589462E-5}
@gt=130.998474  | lt=130.998474 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 7.776340437681199E-5, 7.776311229589462E-5}
@gt=130.999115  | lt=130.999115 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 7.776340437681199E-5, 1.2908097187397E-4}
@gt=130.999115  | lt=130.999115 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 7.776340437681199E-5, 1.2908097187397E-4}
@gt=130.999634  | lt=130.999634 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}
@gt=130.999634  | lt=130.999634 | input={0, 1, 2, 3, 4, 5}


{7.776413457910538E-5, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}
@gt=131.000854  | lt=131.000854 | input={0, 1, 2, 3, 4, 5}


{1.29087156926136E-4, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}
@gt=131.000854  | lt=131.000854 | input={0, 1, 2, 3, 4, 5}


{1.29087156926136E-4, 1.290753127165032E-4, 1.290769269107151E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}
@gt=294.994446  | lt=294.994446 | input={0, 1, 2, 3, 4, 5}

@gt=294.994446  | lt=294.994446 | input={0, 1, 2, 3, 4, 5}
{1.29087156926136E-4, 3.607873180497551E-4, 1.290769269107151E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}

{1.29087156926136E-4, 3.607873180497551E-4, 1.290769269107151E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}
@gt=294.995453  | lt=294.995453 | input={0, 1, 2, 3, 4, 5}

@gt=294.995453  | lt=294.995453 | input={0, 1, 2, 3, 4, 5}
{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}

{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 1.290786681899357E-4, 1.290828037280846E-4, 1.2908097187397E-4}
@gt=294.996582  | lt=294.996582 | input={0, 1, 2, 3, 4, 5}

@gt=294.996582  | lt=294.996582 | input={0, 1, 2, 3, 4, 5}
{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 1.290828037280846E-4, 1.2908097187397E-4}

{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 1.290828037280846E-4, 1.2908097187397E-4}
@gt=294.998016  | lt=294.998016 | input={0, 1, 2, 3, 4, 5}

@gt=294.998016  | lt=294.998016 | input={0, 1, 2, 3, 4, 5}
{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 1.290828037280846E-4, 3.607980226179886E-4}

{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 1.290828037280846E-4, 3.607980226179886E-4}
@gt=294.999207  | lt=294.999207 | input={0, 1, 2, 3, 4, 5}

@gt=294.999207  | lt=294.999207 | input={0, 1, 2, 3, 4, 5}
{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 3.60801536275692E-4, 3.607980226179886E-4}

{1.29087156926136E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 3.60801536275692E-4, 3.607980226179886E-4}
@gt=295.001892  | lt=295.001892 | input={0, 1, 2, 3, 4, 5}

@gt=295.001892  | lt=295.001892 | input={0, 1, 2, 3, 4, 5}
{3.608096843126106E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 3.60801536275692E-4, 3.607980226179886E-4}

{3.608096843126106E-4, 3.607873180497551E-4, 3.607903553085422E-4, 3.607936921450138E-4, 3.60801536275692E-4, 3.607980226179886E-4}
@gt=490.990753  | lt=490.990753 | input={0, 1, 2, 3, 4, 5}


{3.608096843126106E-4, 3.608135930601025E-4, 3.607903553085422E-4, 3.607936921450138E-4, 3.60801536275692E-4, 3.607980226179886E-4}
@gt=490.998657  | lt=490.998657 | input={0, 1, 2, 3, 4, 5}


{3.608096843126106E-4, 3.608135930601025E-4, 3.607903553085422E-4, 3.607936921450138E-4, 3.608278123456765E-4, 3.607980226179886E-4}
@gt=545.989716  | lt=545.989716 | input={0, 1, 2, 3, 4, 5}


{3.608096843126106E-4, 4.035726679406834E-4, 3.607903553085422E-4, 3.607936921450138E-4, 3.608278123456765E-4, 3.607980226179886E-4}
@gt=545.998505  | lt=545.998505 | input={0, 1, 2, 3, 4, 5}


{3.608096843126106E-4, 4.035726679406834E-4, 3.607903553085422E-4, 3.607936921450138E-4, 4.03593721452942E-4, 3.607980226179886E-4}
@gt=578.989105  | lt=578.989105 | input={0, 1, 2, 3, 4, 5}


{3.608096843126106E-4, 4.686869761968327E-4, 3.607903553085422E-4, 3.607936921450138E-4, 4.03593721452942E-4, 3.607980226179886E-4}
@gt=578.998413  | lt=578.998413 | input={0, 1, 2, 3, 4, 5}


